,released,NEED RE,order #,PO #,quantity,thick,width,length,grade,mill,frt,Total,,,,
 SMT ,1-Nov,,56473,13756,23,2,6,8,3,275,,,,,,
 SMT ,1-Nov,,56474,13776,22,2,4,8,3,280,,,,,,
 LBM ,,,56494,1223699,13,2,6,104,2,415,,,,,,
,,,,,6,2,6,116,2,450,,,,,,
 LBM ,,,56495,1223700,21,2,6,104,2,425,,,,,,
 TAMPA TALL  ,,,56480,31574,7,2,4,12,2,400,15,415,,,,
,,,,,7,2,6,12,2,400,15,415,,,,
 SEA ,1-Nov,,56475,98287,22,2,4,8,3,270,,,,,,
 SEA ,1-Nov,,56476,98288,22,2,4,8,3,270,,,,,,
 SEA ,1-Nov,,56477,98289,22,2,4,8,3,270,,,,,,
 SEA ,1-Nov,,56478,98290,22,2,4,8,3,270,,,,,,
 SEA ,1-Nov,,56479,98291,22,2,4,8,3,270,,,,,,
 BAKER  ,,,56496,Toni,2,2,4,4,rd,210,,,,,,
 MACSOUTH 11-8 or sooner ,,,56498,14886A,20,2,4,104,2,460,40,500,,,,
 MACSOUTH 11-8 or sooner ,,,56499,14886B,15,2,6,12,2p,390,40,430,,,,
 VIKING ,,complete,56497,26773,15,2,6,132-3/4,2,430,45,475,,,,
 VIKING ,gtg,,56500,26772,10,2,4,132-3/4,2,430,45,475,,,,
,,,,,5,2,6,132-3/4,2,430,45,475,,,,
 SMT AMER WINTER ,2-Nov,,56506,13852,11,2,4,8,3,280,39,,,,,
,,,,,8,2,4,10,3,325,39,,,,,
 TLC ,,,56501,6969,20,2,4,104,2,460,16,476,,,,
 UFPI JOE ,3-Nov,,56504,21901223,21,2,6,104,2,448,27,475,,,,
 GC SHELTER DAYTONA ,11/9 gtg,,56502,4040521-00,10,2,4,104-3/4,2,470,38,508,,,,
,14-Nov,,,,10,2,6,104-3/4,2,460,38,498,,,,
 GC SHELTER DAYTONA ,8-Nov,,56503,4040522-00,14,2,6,104-3/4,2,460,38,498,,,,
,,,,,5,2,6,120-3/4,2,440,38,478,,,,
 GC SHELTER DAHLONEGA ,4-Dec,,56481,4040614,4,2,4,104,2,457,43,500,,,,
,,,,,16,2,6,104,2,447,43,490,,,,
 GC SHELTER DAHLONEGA 12-6 ,,,56482,4040615,20,2,4,104,2,458,42,500,,,,
